Date,Open(Q.FTAS),High(Q.FTAS),Low(Q.FTAS),Last(Q.FTAS)
02/02/2005,2466.85,2473.77,2463.46,2473.04
01/02/2005,2441.27,2466.81,2441.27,2466.81
31/01/2005,2430.06,2449.86,2430.06,2441.22
28/01/2005,2438.38,2441.46,2428.00,2430.05
27/01/2005,2435.73,2441.33,2430.79,2438.37
26/01/2005,2433.23,2440.64,2431.68,2435.72
25/01/2005,2419.10,2435.91,2415.17,2433.21
24/01/2005,2416.29,2419.25,2401.94,2419.12
21/01/2005,2415.24,2420.99,2408.86,2416.28
20/01/2005,2422.05,2422.05,2406.18,2415.20
19/01/2005,2422.54,2431.52,2421.85,2422.06
18/01/2005,2432.61,2433.75,2412.37,2422.45
17/01/2005,2420.31,2432.54,2420.31,2432.54
14/01/2005,2410.20,2424.28,2404.16,2420.23
13/01/2005,2400.94,2412.76,2400.94,2410.15
12/01/2005,2414.26,2416.64,2393.30,2400.92
11/01/2005,2423.50,2426.32,2408.80,2414.26
10/01/2005,2429.28,2430.96,2420.28,2423.53
07/01/2005,2414.50,2432.15,2413.43,2429.23
06/01/2005,2406.58,2418.78,2406.58,2414.50
05/01/2005,2426.84,2426.84,2406.56,2406.56
04/01/2005,2410.85,2428.35,2410.26,2426.86
31/12/2004,2412.33,2412.89,2405.07,2410.75
30/12/2004,2410.58,2414.39,2408.44,2412.30
29/12/2004,2400.00,2410.55,2395.66,2410.55
24/12/2004,2396.02,2403.92,2393.43,2400.00
23/12/2004,2389.99,2396.04,2389.68,2395.99
22/12/2004,2369.67,2392.53,2369.67,2389.96
21/12/2004,2367.69,2373.23,2367.69,2369.64
20/12/2004,2352.38,2372.89,2352.38,2367.68
17/12/2004,2369.52,2374.56,2349.20,2352.37
16/12/2004,2364.94,2374.23,2364.94,2369.53
15/12/2004,2360.51,2372.55,2360.51,2364.88
14/12/2004,2366.96,2374.72,2355.15,2360.51
13/12/2004,2346.52,2366.94,2346.52,2366.94
10/12/2004,2342.34,2355.21,2341.14,2346.46
09/12/2004,2349.62,2355.70,2336.80,2342.33
08/12/2004,2360.12,2360.12,2345.27,2349.62
07/12/2004,2356.31,2364.79,2353.89,2360.17
06/12/2004,2367.81,2367.81,2350.13,2356.34
03/12/2004,2367.32,2376.02,2361.95,2367.83
02/12/2004,2359.50,2369.52,2359.00,2367.29
01/12/2004,2345.14,2364.28,2345.14,2359.47
30/11/2004,2365.33,2368.98,2342.67,2345.21
29/11/2004,2362.13,2382.80,2361.41,2365.33
26/11/2004,2367.14,2367.14,2355.82,2362.13
25/11/2004,2352.36,2367.12,2352.36,2367.12
24/11/2004,2361.20,2364.63,2349.64,2352.34
23/11/2004,2355.81,2372.01,2355.81,2361.22
22/11/2004,2370.28,2370.28,2350.75,2355.77
19/11/2004,2389.04,2389.04,2368.63,2370.35
18/11/2004,2384.67,2393.62,2379.50,2389.01
17/11/2004,2371.89,2385.24,2371.89,2384.66
16/11/2004,2387.24,2389.18,2368.02,2371.89
15/11/2004,2382.93,2394.25,2380.77,2387.24
12/11/2004,2373.11,2382.83,2373.11,2382.83
11/11/2004,2353.32,2373.72,2351.26,2373.04
10/11/2004,2344.99,2357.39,2344.99,2353.31
09/11/2004,2344.63,2348.91,2342.42,2344.98
08/11/2004,2356.24,2356.24,2340.63,2344.63
05/11/2004,2348.64,2364.49,2348.64,2356.19
04/11/2004,2343.47,2348.46,2334.86,2348.46
03/11/2004,2330.42,2345.13,2330.42,2343.47
02/11/2004,2320.22,2331.35,2320.22,2330.43
01/11/2004,2297.68,2323.36,2297.68,2320.19
29/10/2004,2305.54,2307.99,2297.66,2297.66
28/10/2004,2300.01,2314.41,2296.19,2305.55
27/10/2004,2278.21,2299.89,2278.21,2299.89
26/10/2004,2268.65,2278.51,2267.93,2278.21
25/10/2004,2292.10,2292.10,2263.13,2268.63
22/10/2004,2291.76,2303.43,2290.50,2292.16
21/10/2004,2290.00,2300.76,2280.37,2291.74
20/10/2004,2308.49,2308.49,2282.78,2289.99
19/10/2004,2294.76,2316.53,2294.76,2308.58
18/10/2004,2294.19,2300.90,2289.06,2294.71
15/10/2004,2295.97,2296.23,2285.28,2294.18
14/10/2004,2299.26,2301.97,2291.46,2296.00
13/10/2004,2306.85,2319.19,2299.33,2299.33
12/10/2004,2325.58,2326.21,2300.89,2306.80
11/10/2004,2331.55,2334.20,2325.28,2325.61
08/10/2004,2331.61,2341.71,2323.37,2331.53
07/10/2004,2333.89,2346.03,2326.12,2331.63
