Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
29/04/2004,10339.41,10407.97,10219.18,10272.27
28/04/2004,10476.67,10476.95,10333.87,10342.60
27/04/2004,10445.38,10537.35,10441.75,10478.16
26/04/2004,10472.91,10512.79,10418.12,10444.73
23/04/2004,10463.11,10482.91,10410.6,10472.84
22/04/2004,10314.99,10496.61,10292.28,10461.20
21/04/2004,10311.87,10332.88,10250.48,10317.27
20/04/2004,10437.85,10487.67,10313.58,10314.50
19/04/2004,10451.62,10451.76,10399.47,10437.85
16/04/2004,10398.32,10460.06,10376.39,10451.97
15/04/2004,10377.95,10430.62,10322.16,10397.46
14/04/2004,10378.1,10415.28,10322.94,10377.95
13/04/2004,10516.05,10552.61,10361.99,10381.28
12/04/2004,10444.38,10526.27,10443.81,10515.56
08/04/2004,10482.77,10554.1,10393.91,10442.03
07/04/2004,10569.26,10569.26,10465.33,10480.15
06/04/2004,10553.76,10570.81,10505.11,10570.81
05/04/2004,10470.59,10558.66,10465.63,10558.37
02/04/2004,10375.33,10496.44,10375.33,10470.59
01/04/2004,10357.52,10419.04,10342.59,10373.33
31/03/2004,10380.89,10401.7,10314.89,10357.70
30/03/2004,10327.63,10387.26,10306.15,10381.70
29/03/2004,10212.91,10350.45,10212.91,10329.63
26/03/2004,10218.37,10271.78,10181.04,10212.97
25/03/2004,10049.56,10226.08,10049.49,10218.82
24/03/2004,10065.41,10108.15,10007.49,10048.23
23/03/2004,10066.67,10131.35,10047.41,10063.64
22/03/2004,10185.93,10186.15,10012.16,10064.75
19/03/2004,10295.85,10314.59,10182.6,10186.60
18/03/2004,10298.96,10328.82,10214.15,10295.78
17/03/2004,10184.3,10326.52,10184.3,10300.30
16/03/2004,10103.41,10221.11,10103.41,10184.67
15/03/2004,10238.45,10241.11,10092.47,10102.89
12/03/2004,10130.67,10241.19,10130.67,10240.08
11/03/2004,10288.85,10321.41,10120.38,10128.38
10/03/2004,10457.59,10473.86,10284.67,10296.89
09/03/2004,10529.52,10529.7,10424.07,10456.96
08/03/2004,10595.37,10634.29,10526.89,10529.48
05/03/2004,10582.59,10651.33,10524.59,10595.55
04/03/2004,10593.48,10603.25,10562.74,10588.00
03/03/2004,10588.59,10610,10550.14,10593.11
02/03/2004,10678.36,10678.36,10568.88,10591.48
01/03/2004,10582.25,10695.55,10582.22,10678.14
27/02/2004,10581.55,10652.36,10563.63,10583.92
26/02/2004,10598.14,10612.14,10539.33,10580.14
25/02/2004,10566.59,10615.56,10560.07,10601.62
24/02/2004,10609.55,10637.11,10521.7,10566.37
