Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
21/05/1922,92.08,94.80,92.08,94.65
14/05/1922,92.84,92.93,91.50,92.93
07/05/1922,93.35,93.81,93.18,93.59
30/04/1922,93.00,93.00,91.10,92.74
23/04/1922,92.75,93.46,91.15,93.46
16/04/1922,91.11,93.06,91.11,93.06
09/04/1922,90.05,90.80,89.30,90.63
02/04/1922,86.60,89.08,86.60,89.08
26/03/1922,88.28,88.28,86.90,87.08
19/03/1922,87.56,88.47,87.30,88.47
12/03/1922,86.30,87.93,86.30,87.93
05/03/1922,84.58,86.46,84.58,85.91
26/02/1922,84.85,85.81,83.33,83.33
19/02/1922,83.81,84.28,83.81,84.28
12/02/1922,83.70,83.70,82.74,82.96
05/02/1922,81.33,83.61,81.30,83.61
29/01/1922,82.29,82.57,81.34,81.75
22/01/1922,81.36,82.95,81.36,82.53
15/01/1922,78.87,81.23,78.59,81.23
08/01/1922,78.91,79.61,78.68,79.12
01/01/1922,80.69,81.10,80.34,81.10
25/12/1921,80.31,80.31,78.76,79.61
18/12/1921,80.63,81.50,80.57,80.57
11/12/1921,78.93,80.16,78.80,80.16
04/12/1921,78.01,79.00,77.30,79.00
27/11/1921,76.69,77.85,76.21,77.85
20/11/1921,75.50,77.13,75.50,77.06
13/11/1921,74.20,76.46,74.20,76.46
06/11/1921,73.21,73.98,73.21,73.91
30/10/1921,71.81,73.93,71.81,73.93
23/10/1921,69.46,71.11,69.46,71.11
16/10/1921,70.95,71.06,70.09,70.09
09/10/1921,71.61,71.61,70.42,71.17
02/10/1921,70.65,71.68,70.14,71.68
25/09/1921,70.06,70.90,69.45,70.81
18/09/1921,70.68,71.72,70.68,70.83
11/09/1921,69.12,71.92,69.12,71.92
04/09/1921,66.18,68.00,66.18,68.00
28/08/1921,64.50,65.56,63.90,65.56
21/08/1921,66.02,66.09,65.09,65.09
14/08/1921,68.63,68.63,66.42,66.75
07/08/1921,69.68,69.95,68.56,68.56
31/07/1921,69.80,69.80,68.18,68.86
24/07/1921,67.87,69.23,67.87,69.23
17/07/1921,68.69,68.70,67.25,67.44
10/07/1921,67.71,69.86,67.71,68.54
03/07/1921,67.03,68.73,67.03,68.35
26/06/1921,64.90,67.85,64.90,67.85
19/06/1921,70.03,70.05,67.25,67.25
12/06/1921,71.18,71.56,69.70,69.70
05/06/1921,73.44,73.51,72.37,72.55
29/05/1921,75.86,75.86,74.26,74.31
22/05/1921,77.23,77.65,75.65,75.65
15/05/1921,78.81,78.81,77.19,77.19
08/05/1921,79.65,80.03,79.23,79.48
01/05/1921,78.55,78.86,78.11,78.84
24/04/1921,76.15,78.15,76.08,78.15
17/04/1921,76.15,76.33,75.06,76.33
10/04/1921,75.16,76.58,75.16,75.73
03/04/1921,76.19,77.13,75.27,75.27
27/03/1921,76.03,77.78,76.03,77.13
20/03/1921,72.99,76.56,72.99,76.56
13/03/1921,75.26,75.26,72.25,72.76
06/03/1921,74.98,75.25,74.71,75.25
27/02/1921,75.10,75.66,74.66,75.46
20/02/1921,76.41,77.14,75.93,75.93
13/02/1921,74.80,75.59,74.80,75.59
06/02/1921,76.13,76.13,74.34,75.05
30/01/1921,74.77,76.34,74.77,76.34
23/01/1921,75.21,76.76,74.65,74.91
16/01/1921,76.00,76.14,74.43,75.14
09/01/1921,72.67,75.21,72.67,74.80
02/01/1921,68.01,71.95,67.96,71.95
26/12/1920,68.52,69.63,66.75,68.91
19/12/1920,70.48,72.29,69.55,69.55
12/12/1920,76.73,76.73,72.06,72.06
05/12/1920,76.18,77.63,76.04,77.63
28/11/1920,77.15,77.20,75.46,75.46
21/11/1920,76.63,76.65,73.12,74.03
14/11/1920,81.51,81.51,76.90,76.90
07/11/1920,85.48,85.48,82.86,82.86
31/10/1920,85.73,85.73,84.61,84.95
24/10/1920,84.31,85.57,84.31,85.57
17/10/1920,84.00,85.40,84.00,84.96
10/10/1920,85.25,85.60,84.40,84.42
03/10/1920,83.82,84.53,82.95,84.50
26/09/1920,88.88,88.88,85.90,86.35
19/09/1920,86.96,89.95,86.96,89.81
12/09/1920,88.21,88.33,86.98,86.98
05/09/1920,86.43,88.05,86.16,88.05
29/08/1920,85.78,87.29,85.78,86.60
22/08/1920,85.07,86.86,83.90,86.86
15/08/1920,83.24,85.89,83.20,85.57
08/08/1920,84.95,85.58,84.06,84.10
01/08/1920,87.66,87.89,86.85,86.85
25/07/1920,90.21,90.74,89.63,89.85
18/07/1920,92.08,92.08,89.95,90.24
11/07/1920,93.00,94.51,93.00,94.20
04/07/1920,90.45,92.20,90.36,92.20
27/06/1920,91.32,91.32,90.16,90.88
20/06/1920,91.75,92.00,91.37,91.92
13/06/1920,91.13,93.20,91.13,93.20
06/06/1920,90.20,92.25,90.20,92.25
30/05/1920,87.57,92.06,87.57,92.06
23/05/1920,91.24,91.24,87.36,88.40
16/05/1920,93.33,93.33,90.80,91.90
09/05/1920,94.03,94.75,93.45,94.75
02/05/1920,97.20,97.20,93.16,93.54
25/04/1920,101.87,101.87,95.46,95.76
